Unnamed: 0,title,ingredients,directions,link,source,NER
441,Sparkle Cutout Cookies,"[""1 (8 oz.) cream cheese"", ""1 c. margarine"", ""2/3 c. sugar"", ""1/2 tsp. vanilla"", ""2 1/2 c. flour"", ""dash of salt""]","[""Combine softened cream cheese, margarine, sugar and vanilla until well blended."", ""Add flour and salt."", ""Mix well."", ""Chill."", ""On a lightly floured surface, roll dough to 1/4-inch thickness."", ""Cut with assorted cookie cutters."", ""Place on ungreased cookie sheet. Decorate with colored sugar or icing."", ""Bake at 375\u00b0 for 8 to 10 minutes, just until edges start to brown lightly.""]",www.cookbooks.com/Recipe-Details.aspx?id=675628,Gathered,"[""cream cheese"", ""margarine"", ""sugar"", ""vanilla"", ""flour"", ""salt""]"
1621,Fruit Scones,"[""3 c. self-rising flour"", ""1/4 c. sugar"", ""1/4 c. firmly packed light brown sugar"", ""1/2 c. dry cranberries or cherries, coarsely chopped"", ""1/2 c. chilled butter, cut into pieces (1 stick)"", ""1 c. whipping cream""]","[""Preheat oven to 400\u00b0."", ""Butter 2 large cookie sheets."", ""Sift flour into bowl."", ""Mix in both sugars."", ""Add butter and rub in fingertips until mixture resembles coarse meal."", ""Add 1/2 cup dried fruit."", ""Stir in enough cream to form soft, slightly sticky dough. Turn dough out onto slightly floured surface and knead until just combined."", ""Gather dough into ball; flatten into disc."", ""Roll out to thickness of 3/4-inch."", ""Cut out rounds using 2-inch round cookie cutter."", ""Gather scraps and re-roll on floured surface."", ""Cut out additional rounds.""]",www.cookbooks.com/Recipe-Details.aspx?id=406373,Gathered,"[""flour"", ""sugar"", ""brown sugar"", ""cranberries"", ""butter"", ""whipping cream""]"
2100,Sauerkraut Salad,"[""1 c. sugar"", ""1/4 c. vinegar"", ""1 can sauerkraut"", ""1 c. celery, cut fine"", ""1 onion, chopped"", ""1/2 green pepper or 5 or 6 red sweet canned peppers or pimentos, cut up""]","[""Bring sugar and vinegar to boil and let cool."", ""Drain well and cut up sauerkraut."", ""Add rest of ingredients."", ""Pour syrup over and let stand overnight."", ""Very important to stand overnight. Delicious.""]",www.cookbooks.com/Recipe-Details.aspx?id=419034,Gathered,"[""sugar"", ""vinegar"", ""sauerkraut"", ""celery"", ""onion"", ""green pepper""]"
2854,Roasted Pumpkin Seeds,"[""2 c. unwashed pumpkin seeds"", ""1 1/2 tsp. Worcestershire sauce"", ""dash of soy sauce"", ""dash of garlic powder"", ""salt"", ""1 1/2 Tbsp. melted butter""]","[""Mix all ingredients and spread on cookie sheet."", ""Bake approximately 1 hour at 250\u00b0."", ""Stir often until seeds are no longer wet and are nicely browned.""]",www.cookbooks.com/Recipe-Details.aspx?id=711146,Gathered,"[""pumpkin seeds"", ""Worcestershire sauce"", ""soy sauce"", ""garlic"", ""salt"", ""butter""]"
2978,Potato Chip Cookies,"[""1 c. butter or margarine"", ""1/2 c. sugar"", ""1 1/2 c. self-rising flour"", ""1 tsp. vanilla"", ""1/2 c. crushed potato chips"", ""1/2 c. chopped nuts""]","[""Cream butter and sugar."", ""Add flour, chips and vanilla."", ""Stir until well mixed."", ""Add nuts."", ""Drop by half teaspoonfuls onto greased cookie sheet."", ""Bake at 350\u00b0 for 10 minutes."", ""Makes 5 dozen."", ""Dust with powdered sugar.""]",www.cookbooks.com/Recipe-Details.aspx?id=348228,Gathered,"[""butter"", ""sugar"", ""flour"", ""vanilla"", ""potato chips"", ""nuts""]"
3562,Pineapple Cheese Ball,"[""2 (8 oz.) pkg. cream cheese"", ""1 (8 oz.) can crushed pineapple, drained"", ""1 c. chopped nuts (pecans), divided in half"", ""1/4 c. finely chopped green pepper"", ""2 Tbsp. finely chopped onion"", ""1 Tbsp. seasoned salt""]","[""Mix together to form a ball."", ""Save half of pecans to roll finished ball in. (This tastes better if made a day ahead.)""]",www.cookbooks.com/Recipe-Details.aspx?id=889474,Gathered,"[""cream cheese"", ""pineapple"", ""nuts"", ""green pepper"", ""onion"", ""salt""]"
4468,Ladyfingers,"[""1 1/2 stick butter"", ""1/4 c. sugar"", ""4 tsp. vanilla"", ""1 c. nuts"", ""2 c. plain flour"", ""dash of salt""]","[""Cream softened butter and sugar until smooth."", ""Add vanilla, nuts, salt and flour."", ""Roll by hand into small rolls."", ""Place on greased cookie sheet and bake 30 minutes at 325\u00b0 or until brown. Cool slightly and place in a bag of powdered sugar and shake to coat."", ""Dry on waxed paper."", ""Store in airtight container.""]",www.cookbooks.com/Recipe-Details.aspx?id=74131,Gathered,"[""butter"", ""sugar"", ""vanilla"", ""nuts"", ""flour"", ""salt""]"
4559,Cheese Ball,"[""2 (8 oz.) pkg. cream cheese"", ""1 small can crushed pineapple, drained"", ""1/4 c. finely chopped green pepper"", ""3 Tbsp. finely chopped onion"", ""1 tsp. seasoned salt"", ""1 c. chopped pecans (mixed in)"", ""1 c. chopped pecans (on the outside)""]","[""Let cream cheese set at room temperature, then mix together.""]",www.cookbooks.com/Recipe-Details.aspx?id=481285,Gathered,"[""cream cheese"", ""pineapple"", ""green pepper"", ""onion"", ""salt"", ""pecans"", ""pecans""]"
5291,Rhubarb Butter Crunch,"[""3 c. rhubarb, chopped"", ""1 c. sugar"", ""3 Tbsp. flour"", ""1 c. oats"", ""1 c. brown sugar, packed"", ""1 1/2 c. flour"", ""1/2 c. butter"", ""1/2 c. margarine""]","[""Preheat"", ""oven"", ""to"", ""350\u00b0."", ""Mix"", ""rhubarb with sugar and 3 tablespoons flour in a 9 x 9-inch baking pan."", ""Mix oats, brown sugar"", ""and 1 1/2 cups flour in bowl."", ""Cut in butter and margarine until crumbly."", ""Sprinkle over rhubarb."", ""Bake 40 minutes. May double"", ""rhubarb"", ""for"", ""a"", ""9 x 13-inch pan, leaving topping ingredients the same.""]",www.cookbooks.com/Recipe-Details.aspx?id=218500,Gathered,"[""rhubarb"", ""sugar"", ""flour"", ""oats"", ""brown sugar"", ""flour"", ""butter"", ""margarine""]"
5730,Chex Party Mix,"[""1/2 stick butter"", ""4 Tbsp. Worcestershire sauce"", ""2 Tbsp. seasoned salt"", ""2 c. Rice Chex"", ""2 c. Wheat Chex"", ""2 c. pretzels"", ""1 c. peanuts""]","[""Melt butter in a roasting pan. Mix in salt and Worcestershire sauce. Mix in remaining ingredients. Stir well. Bake at 250\u00b0 for 1 hour. Pour out on towel and let cool.""]",www.cookbooks.com/Recipe-Details.aspx?id=63436,Gathered,"[""butter"", ""Worcestershire sauce"", ""salt"", ""Rice"", ""pretzels"", ""peanuts""]"
5766,Potato Chip Cookies,"[""1 cup margarine"", ""1/2 cup sugar"", ""1 cup crushed Potato chips"", ""1/2 cup chopped nuts"", ""2 cups flour"", ""1 tsp. vanilla""]","[""Cream margarine and sugar, add remaining ingredients and mix well."", ""Drop by tsp. on greased sheet."", ""Bake 15 min. at 350\u00b0. Roll in powdered sugar or cinnamon if desired when cool.""]",www.cookbooks.com/Recipe-Details.aspx?id=62761,Gathered,"[""margarine"", ""sugar"", ""Potato chips"", ""nuts"", ""flour"", ""vanilla""]"
6502,Pineapple Cheese Balls,"[""2 (8 oz.) pkg. cream cheese"", ""1 small can crushed pineapple, drained"", ""2 c. chopped pecans"", ""1/4 c. chopped green pepper"", ""2 Tbsp. chopped onion"", ""1 Tbsp. seasoned salt""]","[""Add pineapple to cheese mixture, pepper and onion."", ""Add salt into cheese mixture."", ""Add 1/2 cup nuts."", ""Form into two large balls and cover each with the remaining nuts."", ""Chill in refrigerator. Serve with crackers or chips.""]",www.cookbooks.com/Recipe-Details.aspx?id=597413,Gathered,"[""cream cheese"", ""pineapple"", ""pecans"", ""green pepper"", ""onion"", ""salt""]"
6628,Garden Club Cookies,"[""2 sticks softened margarine"", ""1/2 c. sugar"", ""1 1/4 c. flour"", ""1/2 c. crushed potato chips"", ""1/2 c. chopped nuts"", ""1 tsp. vanilla""]","[""Mix in order given."", ""Drop by teaspoon on lightly greased cookie sheet."", ""Bake at 350\u00b0 about 12 minutes."", ""Watch carefully after 10 minutes."", ""Let cookies cool a minute."", ""Transfer to cooling racks or towels."", ""Immediately sift powdered sugar over cookies. Makes about 4 dozen cookies.""]",www.cookbooks.com/Recipe-Details.aspx?id=610336,Gathered,"[""margarine"", ""sugar"", ""flour"", ""potato chips"", ""nuts"", ""vanilla""]"
6990,Mississippi Mud Cake With Mini Marshmallows,"[""1/2 c. cocoa"", ""2 sticks real butter"", ""2 c. sugar"", ""1 1/2 c. flour"", ""1 tsp. vanilla"", ""2 1/2 c. chopped nuts (optional)"", ""pinch of salt""]","[""Melt butter and cocoa in a saucepan and pour over sugar."", ""Add beaten eggs, flour, nuts and vanilla."", ""Bake at 350\u00b0 for 30 minutes in a greased 9 x 13-inch pan."", ""After the cake comes out, pour 1 package of mini marshmallows over the cake and spread out.""]",www.cookbooks.com/Recipe-Details.aspx?id=710134,Gathered,"[""cocoa"", ""butter"", ""sugar"", ""flour"", ""vanilla"", ""nuts"", ""salt""]"
8122,Sweet And Sour Carrots,"[""1 lb. carrots, peeled and cut diagonally"", ""1 medium green pepper, seeded and cut in strips"", ""1 (8 oz.) can pineapple chunks (save juice)"", ""1/3 c. sugar"", ""2 tsp. cornstarch"", ""1/2 tsp. salt"", ""2 Tbsp. vinegar"", ""2 tsp. soy sauce""]","[""Cook carrots, covered, in a small amount of water, just until tender, about 15 minutes."", ""Add green pepper; cook 3 minutes longer."", ""Drain."", ""Drain pineapple; save juice."", ""Add water, if necessary, to make 1/3 cup of liquid."", ""Combine sugar, cornstarch and salt in saucepan; stir in pineapple liquid, vinegar and soy sauce."", ""Cook until thick, stirring constantly."", ""Add sauce and pineapple to vegetables; heat."", ""Serve hot or cold.""]",www.cookbooks.com/Recipe-Details.aspx?id=539324,Gathered,"[""carrots"", ""green pepper"", ""pineapple"", ""sugar"", ""cornstarch"", ""salt"", ""vinegar"", ""soy sauce""]"
8227,Arctic Salad Squares,"[""2 (8 oz.) pkg. cream cheese"", ""3 Tbsp. mayonnaise"", ""1/4 c. sugar"", ""1 can whole cranberries"", ""1 (20 oz.) can crushed pineapple"", ""1 c. chopped nuts"", ""1 (16 oz.) carton Cool Whip""]","[""Soften cream cheese; add mayonnaise, sugar, cranberries and pineapple."", ""Stir well."", ""Add nuts and Cool Whip."", ""Pour into pan or bowl and freeze."", ""Enjoy.""]",www.cookbooks.com/Recipe-Details.aspx?id=937668,Gathered,"[""cream cheese"", ""mayonnaise"", ""sugar"", ""cranberries"", ""pineapple"", ""nuts""]"
8273,Pretzel Salad,"[""1 1/2 c. broken pretzels"", ""1 stick margarine"", ""1/2 c. sugar"", ""20 oz. crushed pineapple, drained"", ""1/2 c. sugar"", ""8 oz. softened cream cheese"", ""8 oz. Cool Whip""]","[""Melt margarine and mix with broken pretzels and 1/2 cup of sugar."", ""Cook over low heat for 7 minutes."", ""Pour into baking dish and cool, then break into small pieces."", ""Set aside.""]",www.cookbooks.com/Recipe-Details.aspx?id=635099,Gathered,"[""pretzels"", ""margarine"", ""sugar"", ""pineapple"", ""sugar"", ""cream cheese""]"
9233,White Sauce For Chicken,"[""6 Tbsp. mayonnaise"", ""1 Tbsp. salt"", ""1 Tbsp. vinegar"", ""juice of 1 lemon"", ""black pepper"", ""a little sugar (optional)""]","[""Heat almost to a boil."", ""After chicken is almost done on the grill, coat with White Sauce.""]",www.cookbooks.com/Recipe-Details.aspx?id=664414,Gathered,"[""mayonnaise"", ""salt"", ""vinegar"", ""lemon"", ""black pepper"", ""sugar""]"
9563,Caramel Pralines,"[""3 c. sugar"", ""1 c. sugar (to brown)"", ""1 can cream"", ""1 stick butter"", ""3 or 4 c. pecans"", ""1 Tbsp. vanilla""]","[""On medium-low fire, add cream to 3 cups sugar and dissolve. Bring to 234\u00b0 (soft ball)."", ""While cooking sugar and cream, burn 1 cup sugar on medium-low. Sugar should turn to liquid crystal about the same time the other pot reaches 234\u00b0 (soft ball)."", ""Combine crystal sugar to large pot by pouring slowly."", ""Mixture will rise high, then simmer down."", ""It should be 234\u00b0 or soft ball."", ""Remove from fire."", ""After stirring good, add butter, vanilla and pecans. Set aside for 8 to 10 minutes, stirring several times to cool and it gets dull."", ""Spoon on waxed paper.""]",www.cookbooks.com/Recipe-Details.aspx?id=954439,Gathered,"[""sugar"", ""sugar"", ""cream"", ""butter"", ""pecans"", ""vanilla""]"
9905,Cheese Log,"[""2 (8 oz.) pkg. cream cheese"", ""1 1/2 c. finely chopped pecans, divided"", ""1/2 c. finely chopped celery"", ""1/4 c. finely chopped green pepper"", ""2 Tbsp. finely chopped onion"", ""1 tsp. seasoned salt""]","[""Combine cream cheese, 1/2 cup of pecans and remaining ingredients until thoroughly blended."", ""Shape into two 8-inch long logs."", ""Roll in remaining pecans; chill.""]",www.cookbooks.com/Recipe-Details.aspx?id=367206,Gathered,"[""cream cheese"", ""pecans"", ""celery"", ""green pepper"", ""onion"", ""salt""]"
10904,Hot Cheese Puffs,"[""1 (3 oz.) pkg. cream cheese, softened"", ""3/4 tsp. grated onion"", ""1/4 c. mayonnaise"", ""1 Tbsp. chopped chives"", ""1/8 tsp. cayenne pepper"", ""2 Tbsp. grated Parmesan cheese"", ""bread slices""]","[""Combine all ingredients, except bread; blend well."", ""Cut bread into 1 1/2-inch rounds; spread with cheese mixture."", ""Bake for 15 minutes at 350\u00b0."", ""Yield:"", ""25 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=724131,Gathered,"[""cream cheese"", ""onion"", ""mayonnaise"", ""chives"", ""cayenne pepper"", ""Parmesan cheese"", ""bread""]"
11028,Fried Rice,"[""1 large onion, chopped"", ""1 large green pepper, chopped"", ""6 slices bacon, crumbled"", ""3 Tbsp. soy sauce"", ""1 1/2 c. rice"", ""oil""]","[""Fry bacon crisp in large skillet."", ""Pour off drippings."", ""Cover bottom of skillet with oil."", ""Saute pepper and onion just until tender."", ""Meanwhile, cook rice according to directions."", ""Pour rice over onion and pepper."", ""Add crumbled bacon and soy sauce."", ""Stir slightly to mix."", ""You can add cabbage, carrots, ham, chicken or hamburger meat.""]",www.cookbooks.com/Recipe-Details.aspx?id=970822,Gathered,"[""onion"", ""green pepper"", ""bacon"", ""soy sauce"", ""rice"", ""oil""]"
11129,Pineapple Cheese Ball,"[""2 (8 oz.) pkg. cream cheese"", ""1/4 c. chopped celery"", ""1 c. chopped pecans"", ""1 small can crushed pineapple, drained"", ""2 tsp. chopped onion"", ""1 Tbsp. seasoned salt""]","[""Mix well and form into ball.""]",www.cookbooks.com/Recipe-Details.aspx?id=885204,Gathered,"[""cream cheese"", ""celery"", ""pecans"", ""pineapple"", ""onion"", ""salt""]"
12606,Almond Bars,"[""2 c. sifted plain flour"", ""1 c. sugar"", ""1 stick butter"", ""1 stick margarine"", ""1 egg yolk"", ""2 tsp. vanilla"", ""pinch of salt"", ""1 c. sliced almonds""]","[""Cream butter,"", ""margarine and sugar thoroughly.\tAdd egg yolk; add flour,\tsalt"", ""and"", ""vanilla."", ""Grease cookie sheet and spread dough with\tfingers"", ""dusted with flour."", ""Beat egg white and brush over cookies."", ""Sprinkle almonds over dough and press down with hand."", ""Bake"", ""at"", ""275\u00b0"", ""for\t45"", ""minutes"", ""or"", ""lightly browned."", ""Cut within"", ""a"", ""few minutes into desired portions."", ""A 10 x 15-inch cookie sheet works well.""]",www.cookbooks.com/Recipe-Details.aspx?id=548256,Gathered,"[""flour"", ""sugar"", ""butter"", ""margarine"", ""egg yolk"", ""vanilla"", ""salt"", ""almonds""]"
12795,Salad Dressing,"[""1/2 c. sugar"", ""1 tsp. prepared mustard"", ""1/4 c. vinegar (more tart, if desired)"", ""1 tsp. horseradish"", ""1/2 tsp. each: salt, pepper and paprika"", ""1/2 c. oil""]","[""Mix all ingredients except oil and blend well."", ""Add oil last.""]",www.cookbooks.com/Recipe-Details.aspx?id=921277,Gathered,"[""sugar"", ""mustard"", ""vinegar"", ""horseradish"", ""salt"", ""oil""]"
12873,Potato Chip Cookies,"[""1 c. butter"", ""1/2 c. sugar"", ""1 tsp. vanilla"", ""1/2 c. potato chips, crushed"", ""1/2 c. pecans, chopped"", ""2 c. flour""]","[""In mixing bowl, cream butter and sugar."", ""Add vanilla."", ""Stir in potato chips and chopped nuts."", ""Add flour."", ""Blend well."", ""Form into small balls with hands."", ""Place on ungreased cookie sheet."", ""Flatten with floured glass."", ""Bake at 350\u00b0 for 12 minutes."", ""Makes about 3 1/2 dozen.""]",www.cookbooks.com/Recipe-Details.aspx?id=581863,Gathered,"[""butter"", ""sugar"", ""vanilla"", ""potato chips"", ""pecans"", ""flour""]"
13106,Cheese Ball,"[""2 (8 oz.) cream cheese"", ""8 oz. crushed pineapple - drained"", ""1/4 c. chopped green pepper"", ""2 Tbsp. chopped onion"", ""1 Tbsp. seasoned salt"", ""1 c. finely chopped nuts""]","[""Cream the cheese and add rest of ingredients."", ""Shape into ball and refrigerate."", ""Roll ball into nuts.""]",www.cookbooks.com/Recipe-Details.aspx?id=95572,Gathered,"[""cream cheese"", ""pineapple"", ""green pepper"", ""onion"", ""salt"", ""nuts""]"
13891,Holiday Cheese Ball,"[""16 oz. cream cheese, softened"", ""1 (8 1/2 oz.) can crushed pineapple, drained"", ""2 c. pecans, chopped"", ""1/4 c. green pepper, chopped"", ""2 Tbsp. onion, chopped"", ""1 Tbsp. seasoned salt""]","[""Cream cheese in bowl. Add pineapple, green pepper, onion and seasoned salt. Add pecans (reserving some to roll ball into). Form into a ball and chill. Roll in nuts just before serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=80066,Gathered,"[""cream cheese"", ""pineapple"", ""pecans"", ""green pepper"", ""onion"", ""salt""]"
13892,Pimento Cheese,"[""3/4 lb. cheese"", ""2 Tbsp. butter"", ""pinch of salt"", ""1 tsp. vinegar"", ""1 tsp. sugar"", ""3 Tbsp. mayonnaise""]","[""Heat in double boiler until melted, then mash up pimiento pepper real good."", ""Remove from boiler and stir for a few minutes longer.""]",www.cookbooks.com/Recipe-Details.aspx?id=845863,Gathered,"[""cheese"", ""butter"", ""salt"", ""vinegar"", ""sugar"", ""mayonnaise""]"
14015,Potato Chip Cookies,"[""1 c. butter"", ""1/2 c. crushed potato chips"", ""1/2 c. chopped pecans or walnuts"", ""2 c. sifted flour"", ""1/2 c. sugar"", ""1 tsp. vanilla""]","[""Cream butter, sugar and vanilla, then add potato chips and nuts; mix well."", ""Stir in flour."", ""Form into balls and press flat with the bottom of a sugar-coated glass on a cookie sheet."", ""Bake 12 minutes in a 350\u00b0 oven.""]",www.cookbooks.com/Recipe-Details.aspx?id=310006,Gathered,"[""butter"", ""potato chips"", ""pecans"", ""flour"", ""sugar"", ""vanilla""]"
14459,Pecan Crunch Cookies,"[""1 c. margarine"", ""1/2 c. sugar"", ""1 tsp. vanilla"", ""1/2 c. crushed potato chips"", ""1/2 c. pecans, chopped"", ""2 c. sifted all-purpose flour""]","[""Cream together the margarine, sugar and vanilla."", ""Add crushed potato chips and pecans."", ""Stir in flour."", ""Form small balls with 1 tablespoon of dough."", ""Place on ungreased cookie sheet."", ""Press balls with flat bottom of glass dipped in sugar."", ""Bake in oven at 350\u00b0 for 16 to 18 minutes, or until cookies are light brown.""]",www.cookbooks.com/Recipe-Details.aspx?id=424612,Gathered,"[""margarine"", ""sugar"", ""vanilla"", ""potato chips"", ""pecans"", ""flour""]"
15350,*Sweet And Sour Carrots,"[""1 lb. carrots, sliced diagonally"", ""1 medium green pepper, cut in 1-inch squares"", ""1 (8 oz.) can pineapple chunks"", ""1/3 c. sugar"", ""1 Tbsp. cornstarch"", ""1/2 tsp. salt"", ""2 Tbsp. vinegar"", ""2 tsp. soy sauce""]","[""Cook carrots in slightly salted water for 15 minutes."", ""Add pepper and cook for 3 minutes more; drain."", ""Drain pineapple and save juice."", ""Add water to juice to make 1/3 cup."", ""Combine sugar, cornstarch, salt, liquid, vinegar and soy sauce."", ""Cook and stir until bubbly."", ""Add vegetables and pineapple."", ""Heat through. Serves 6.""]",www.cookbooks.com/Recipe-Details.aspx?id=368149,Gathered,"[""carrots"", ""green pepper"", ""pineapple"", ""sugar"", ""cornstarch"", ""salt"", ""vinegar"", ""soy sauce""]"
15779,Harvard Beets,"[""1 (1 lb.) can beets"", ""1/4 c. vinegar"", ""1 Tbsp. flour"", ""1/2 c. sugar"", ""1/2 tsp. salt"", ""1 Tbsp. butter (optional)""]","[""Drain liquid from beets into saucepan."", ""Boil down to half. Shake together vinegar and flour."", ""Stir into boiling mixture."", ""Add sugar and salt; bring to boil."", ""Add beets and butter; heat through.""]",www.cookbooks.com/Recipe-Details.aspx?id=619795,Gathered,"[""beets"", ""vinegar"", ""flour"", ""sugar"", ""salt"", ""butter""]"
16319,Cheese Ball,"[""2 (8 oz.) pkg. cream cheese"", ""1 (8 1/2 oz.) can crushed pineapple, drained"", ""1 Tbsp. seasoned salt"", ""1 Tbsp. crushed onion"", ""1 Tbsp. green pepper, chopped fine"", ""chopped pecans""]","[""Mix all ingredients."", ""Shape into desired shape."", ""Roll in finely chopped pecans.""]",www.cookbooks.com/Recipe-Details.aspx?id=709006,Gathered,"[""cream cheese"", ""pineapple"", ""salt"", ""onion"", ""green pepper"", ""pecans""]"
